school_id,ลำดับ,รหัส,รายการ,รายการ(cm.),จำนวนที่ใช้ได้,จำนวนรอซ่อม,จำนวนรอจำหน่าย
1020080005,46,22030,ครุภัณฑ์การศึกษา,ครุภัณฑ์ห้องสมุด ชุดเล็ก ประถมศึกษา,0,0,0
1020080005,47,22031,ครุภัณฑ์การศึกษา,ครุภัณฑ์ห้องสมุด ชุดใหญ่ มัธยมศึกษา,0,0,0
1020080005,48,22032,ครุภัณฑ์การศึกษา,เครื่องมัลติมีเดียโปรเจคเตอร์ LCD,2,0,0
1020080005,49,22033,ครุภัณฑ์การศึกษา,เครื่องไมโครคอมพิวเตอร์,20,0,20
1020080005,50,22034,ครุภัณฑ์การศึกษา,เครื่องพิมพ์ (Printer),4,0,0
1020080005,51,22035,ครุภัณฑ์การศึกษา,อุปกรณ์ห้องสมุดรร.ระดับประถมศึกษา-มัธยมศึกษา,1,0,0
1020080005,52,22036,ครุภัณฑ์การศึกษา,ครุภัณฑ์พัฒนาทักษะคิดวิเคราะห์ระดับก่อนประถมศึกษา,0,0,0
1020080005,53,22037,ครุภัณฑ์การศึกษา,ครุภัณฑ์พัฒนาทักษะคิดวิเคราะห์ระดับประถมศึกษา,1,0,0
1020080005,54,22038,ครุภัณฑ์การศึกษา,อุปกรณ์ศูนย์การเรียนรร.ขนาดเล็ก,0,0,0
1020080005,55,22039,ครุภัณฑ์การศึกษา,อุปกรณ์ห้องปฏิบัติการวิทยาศาสตร์ (ประถม-มัธยมต้น),1,0,0
1020080005,56,22040,ครุภัณฑ์การศึกษา,อุปกรณ์ห้องปฏิบัติการวิทยาศาสตร์ (มัธยมศึกษา),0,0,0
1020080005,57,22041,ครุภัณฑ์การศึกษา,คอมพิวเตอร์พกพา(Tablet),31,0,0
1020080005,58,22042,ครุภัณฑ์การศึกษา,เครื่องคอมพิวเตอร์พกพา(Notebook)(ใช้ในการเรียนการสอน),8,0,0
1020080005,59,22043,ครุภัณฑ์การศึกษา,โทรทัศน์สีชนิด จอแบน (LCD),8,0,0
1020080005,60,23001,ครุภัณฑ์ไฟฟ้าและวิทยุ,เครื่องกำเนิดไฟฟ้าพลังแสงอาทิตย์ เบนซิน,0,0,0
1020080005,61,23002,ครุภัณฑ์ไฟฟ้าและวิทยุ,เครื่องตัดกระแสไฟฟ้า,0,0,0
1020080005,62,23003,ครุภัณฑ์ไฟฟ้าและวิทยุ,เครื่องขยายเสียง,1,0,0
1020080005,63,23004,ครุภัณฑ์ไฟฟ้าและวิทยุ,"เครื่องกำเนิดไฟฟ้า 5, 10 กิโลวัตต์",0,0,0
1020080005,64,23005,ครุภัณฑ์ไฟฟ้าและวิทยุ,เครื่องปรับอากาศ,0,0,0
1020080005,65,24001,ครุภัณฑ์งานบ้านและงานครัว,เครื่องกรองน้ำ,0,0,0
1020080005,66,24002,ครุภัณฑ์งานบ้านและงานครัว,เครื่องทำน้ำเย็น,0,0,0
1020080005,67,24003,ครุภัณฑ์งานบ้านและงานครัว,ถังน้ำขนาด 2000 ลิตร แบบไฟเบอร์กลาส,0,0,0
1020080005,68,24004,ครุภัณฑ์งานบ้านและงานครัว,เครื่องตัดหญ้า,0,0,0
1020080005,69,24005,ครุภัณฑ์งานบ้านและงานครัว,โต๊ะอาหารพร้อมเก้าอี้,0,0,0
1020080005,70,24006,ครุภัณฑ์งานบ้านและงานครัว,ตู้เย็น,2,0,0
1020080005,71,24007,ครุภัณฑ์งานบ้านและงานครัว,ถังน้ำขนาด 2000 ลิดร แบบพลาสติก,0,0,0
1020080005,72,24008,ครุภัณฑ์งานบ้านและงานครัว,ถังน้ำขนาด 1000 ลิตร ขึ้นไป แบบไฟเบอร์กลาส,0,0,0
1020080005,73,24009,ครุภัณฑ์งานบ้านและงานครัว,ถังน้ำขนาด 1000 ลิตร ขึ้นไป แบบพลาสติก,0,0,0
1020080005,74,24010,ครุภัณฑ์งานบ้านและงานครัว,ถังน้ำขนาด 1000 ลิตร ขึ้นไป แบบสแตนเลส,0,0,0
1020080005,75,25001,ครุภัณฑ์ยานพาหนะ,รถโดยสาร 12 ที่นั่ง,0,0,0
1020080005,76,25002,ครุภัณฑ์ยานพาหนะ,รถกระบะ,0,0,0
1020080035,1,11001,ครุภัณฑ์การศึกษา,โต๊ะเก้าอี้นักเรียนก่อนประถมศึกษา,17,0,4
1020080035,2,11002,ครุภัณฑ์การศึกษา,ชุดฝึกทักษะนักเรียนก่อนประถมศึกษา,0,0,0
