รหัส,รายการ,รายการ(cm.),จำนวนที่ใช้ได้,จำนวนรอซ่อม,จำนวนรอจำหน่าย
22019,ครุภัณฑ์การศึกษา,ครุภัณฑ์งานเขียนแบบ ม.ต้น,1,0,0
22020,ครุภัณฑ์การศึกษา,เครื่องดนตรีสากล,18,0,32
22021,ครุภัณฑ์การศึกษา,เครื่องดนตรีไทย ชุดเล็ก ประถมศึกษา,2,0,0
22022,ครุภัณฑ์การศึกษา,เครื่องดนตรีไทย ชุดใหญ่ มัธยมศึกษา,0,0,0
22023,ครุภัณฑ์การศึกษา,ชุดอุปกรณ์วิชาพลานามัย,0,0,0
22024,ครุภัณฑ์การศึกษา,โต๊ะเทเบิลเทนนิส,0,0,0
22025,ครุภัณฑ์การศึกษา,ชุดอุปกรณ์เปตอง,0,0,0
22026,ครุภัณฑ์การศึกษา,โทรทัศน์สี,5,10,0
22027,ครุภัณฑ์การศึกษา,วิทยุ - เทป - ซีดี,0,0,0
22028,ครุภัณฑ์การศึกษา,เครื่องเล่น ดีวีดี,0,0,0
22029,ครุภัณฑ์การศึกษา,จานรับสัญญาณดาวเทียม,2,0,0
22030,ครุภัณฑ์การศึกษา,ครุภัณฑ์ห้องสมุด ชุดเล็ก ประถมศึกษา,0,0,0
22031,ครุภัณฑ์การศึกษา,ครุภัณฑ์ห้องสมุด ชุดใหญ่ มัธยมศึกษา,0,0,0
22032,ครุภัณฑ์การศึกษา,เครื่องมัลติมีเดียโปรเจคเตอร์ LCD,3,1,3
22033,ครุภัณฑ์การศึกษา,เครื่องไมโครคอมพิวเตอร์,60,0,31
22034,ครุภัณฑ์การศึกษา,เครื่องพิมพ์ (Printer),2,0,1
22035,ครุภัณฑ์การศึกษา,อุปกรณ์ห้องสมุดรร.ระดับประถมศึกษา-มัธยมศึกษา,0,0,0
22036,ครุภัณฑ์การศึกษา,ครุภัณฑ์พัฒนาทักษะคิดวิเคราะห์ระดับก่อนประถมศึกษา,0,0,0
22037,ครุภัณฑ์การศึกษา,ครุภัณฑ์พัฒนาทักษะคิดวิเคราะห์ระดับประถมศึกษา,0,0,0
22038,ครุภัณฑ์การศึกษา,อุปกรณ์ศูนย์การเรียนรร.ขนาดเล็ก,0,0,0
22039,ครุภัณฑ์การศึกษา,อุปกรณ์ห้องปฏิบัติการวิทยาศาสตร์ (ประถม-มัธยมต้น),0,0,0
22040,ครุภัณฑ์การศึกษา,อุปกรณ์ห้องปฏิบัติการวิทยาศาสตร์ (มัธยมศึกษา),0,0,0
22041,ครุภัณฑ์การศึกษา,คอมพิวเตอร์พกพา(Tablet),0,0,0
22042,ครุภัณฑ์การศึกษา,เครื่องคอมพิวเตอร์พกพา(Notebook)(ใช้ในการเรียนการสอน),14,0,2
22043,ครุภัณฑ์การศึกษา,โทรทัศน์สีชนิด จอแบน (LCD),12,0,2
23001,ครุภัณฑ์ไฟฟ้าและวิทยุ,เครื่องกำเนิดไฟฟ้าพลังแสงอาทิตย์ เบนซิน,0,0,0
23002,ครุภัณฑ์ไฟฟ้าและวิทยุ,เครื่องตัดกระแสไฟฟ้า,1,0,0
23003,ครุภัณฑ์ไฟฟ้าและวิทยุ,เครื่องขยายเสียง,1,0,0
23004,ครุภัณฑ์ไฟฟ้าและวิทยุ,"เครื่องกำเนิดไฟฟ้า 5, 10 กิโลวัตต์",0,0,0
23005,ครุภัณฑ์ไฟฟ้าและวิทยุ,เครื่องปรับอากาศ,15,5,5
24001,ครุภัณฑ์งานบ้านและงานครัว,เครื่องกรองน้ำ,5,0,0
24002,ครุภัณฑ์งานบ้านและงานครัว,เครื่องทำน้ำเย็น,7,0,0
24003,ครุภัณฑ์งานบ้านและงานครัว,ถังน้ำขนาด 2000 ลิตร แบบไฟเบอร์กลาส,0,0,0
24004,ครุภัณฑ์งานบ้านและงานครัว,เครื่องตัดหญ้า,0,0,0
24005,ครุภัณฑ์งานบ้านและงานครัว,โต๊ะอาหารพร้อมเก้าอี้,66,0,0
24006,ครุภัณฑ์งานบ้านและงานครัว,ตู้เย็น,0,0,7
24007,ครุภัณฑ์งานบ้านและงานครัว,ถังน้ำขนาด 2000 ลิดร แบบพลาสติก,1,0,0
24008,ครุภัณฑ์งานบ้านและงานครัว,ถังน้ำขนาด 1000 ลิตร ขึ้นไป แบบไฟเบอร์กลาส,0,0,0
24009,ครุภัณฑ์งานบ้านและงานครัว,ถังน้ำขนาด 1000 ลิตร ขึ้นไป แบบพลาสติก,1,0,0
24010,ครุภัณฑ์งานบ้านและงานครัว,ถังน้ำขนาด 1000 ลิตร ขึ้นไป แบบสแตนเลส,2,0,0
25001,ครุภัณฑ์ยานพาหนะ,รถโดยสาร 12 ที่นั่ง,0,0,0
25002,ครุภัณฑ์ยานพาหนะ,รถกระบะ,0,0,0
